Time,Pseudoproxy,95% CI Lower Bound,95% CI Upper Bound
15,-84.75621382469308,-112.38123644470015,-57.225401650140846
45,-129.34884352724214,-155.6279161142352,-103.15939125182723
75,-149.26516883503825,-174.94310220049718,-123.6748056979911
105,-137.08845529312532,-163.1339213226829,-111.13181289967733
135,-122.54091248444627,-149.02547048624734,-96.14667556731334
165,-127.18246753246751,-153.52692836548098,-100.92785000653419
195,-116.31000000000006,-142.98262712712716,-89.72833533533527
225,-116.31000000000006,-142.98262712712716,-89.72833533533527
255,-117.02207896857374,-143.67321324547754,-90.46183385641876
285,-131.33677567037284,-157.55584602490006,-105.20712100000596
315,-154.96292447336873,-180.46888111440776,-129.5439515633461
345,-151.67707449529735,-177.28220873397896,-126.15926221597614
375,-151.60187598528637,-177.20927995862385,-126.08180171185374
405,-141.39753574783435,-167.31293976896225,-115.57051180843716
435,-152.33452597648852,-177.9198161994949,-126.83649003819896
465,-146.9842827973456,-172.73106069290333,-121.32530991277142
495,-120.42018604651162,-146.96875444281494,-93.96215703145
525,-109.85970802919724,-136.72702586528143,-83.08401661515539
555,-116.31000000000006,-142.98262712712716,-89.72833533533527
585,-116.31000000000006,-142.98262712712716,-89.72833533533527
615,-101.24380983606568,-128.37118339290126,-74.20894957711818
645,-125.80942392502766,-152.1953276624199,-99.51350482869861
675,-135.2026419140809,-161.30502790096588,-109.18927367914807
705,-145.65023886301208,-171.4372825264654,-119.95113753010152
735,-148.41960921843702,-174.12306431251957,-122.80381139028503
765,-137.58311289430003,-163.6136485548914,-111.64134995233202
795,-145.97712607120775,-171.75430321968764,-120.2878576051977
825,-127.1769361590791,-153.5215639468617,-100.92215224774762
855,-123.74846801346791,-150.19657807723544,-97.39055473486944
885,-110.92164634146343,-137.7569114388779,-84.1778983556727
915,30.97166666666658,-0.14639831498179753,61.98360877544195
945,-116.31000000000006,-142.98262712712716,-89.72833533533527
975,-126.47372856545383,-152.83958143662275,-100.1977919552761
1005,-141.1142127454524,-167.03816837268545,-115.27866636374961
1035,-150.1558673962022,-175.80691659345217,-124.59229674347662
1065,-153.77832366154996,-179.32003539289013,-128.32371759788617
1095,-156.08360698532715,-181.55573779743375,-130.69834454699534
1125,-138.26330503144663,-164.27331028969226,-112.34200247637577
1155,-146.11001849743877,-171.8831845219579,-120.42474747613285
1185,-155.00070770485138,-180.50552392555633,-129.5828713259531
1215,-130.64214682031582,-156.88218332395562,-104.49159750232508
1245,-116.31000000000006,-142.98262712712716,-89.72833533533527
1275,-116.31000000000006,-142.98262712712716,-89.72833533533527
1305,-116.31000000000006,-142.98262712712716,-89.72833533533527
1335,-103.40941605839419,-130.47142460343568,-76.43969789497527
1365,-138.5859573244079,-164.586223891142,-112.674360248696
1395,-146.53338016911357,-172.29376776679925,-120.86084399598784
1425,-153.80793401388848,-179.34875200886503,-128.354218638652
1455,-148.95970345162868,-174.64685675198788,-123.36015182270266
1485,-124.99204853728281,-151.4026233119623,-98.67154254004723
1515,-166.72006311613382,-191.87115122284467,-141.65474852160412
1545,-170.0443632588491,-195.09511321737995,-145.07904462629526
1575,-142.01259304905102,-167.9094326482016,-116.20407022082472
1605,-113.76609211946743,-140.51550262803278,-87.10790593003934
1635,-116.31000000000006,-142.98262712712716,-89.72833533533527
1665,-53.189285714285575,-81.76710049335041,-24.708930716430515
1695,-116.31000000000006,-142.98262712712716,-89.72833533533527
1725,-127.0969048069644,-153.44394820023473,-100.83971352815725
1755,-138.34510114074897,-164.3526375274177,-112.42625903758815
1785,-153.35540026297474,-178.9098771926463,-127.88807253451918
1815,-134.57060134664505,-160.69206436550334,-108.53822113871479
1845,-139.25003386004516,-165.23025644549747,-113.35841240902296
1875,-125.7109574468085,-152.0998332215193,-99.41207644878912
1905,-134.53041237113405,-160.65308842347508,-108.49682326656546
1935,-138.87229787234048,-164.8639217536686,-112.96931400762462
1965,-116.31000000000006,-142.98262712712716,-89.72833533533527
1995,-116.31000000000006,-142.98262712712716,-89.72833533533527
2025,-116.31000000000006,-142.98262712712716,-89.72833533533527
2055,-116.31000000000006,-142.98262712712716,-89.72833533533527
2085,-116.31000000000006,-142.98262712712716,-89.72833533533527
2115,-124.08129113924042,-150.51935552281128,-97.73338928175338
2145,-147.34294986679583,-173.07890202820897,-121.6947657970394
2175,-137.06781879194637,-163.11390769796654,-111.11055564625033
2205,-144.6979689119171,-170.51375516760277,-118.9702230085006
2235,-116.31000000000006,-142.98262712712716,-89.72833533533527
2265,-134.67769053117786,-160.7959212515055,-108.64853159857303
2295,-126.23910112359545,-152.6120358110919,-99.95610684842131
2325,-116.31000000000006,-142.98262712712716,-89.72833533533527
2355,-116.31000000000006,-142.98262712712716,-89.72833533533527
2385,-116.31000000000006,-142.98262712712716,-89.72833533533527
2415,-116.31000000000006,-142.98262712712716,-89.72833533533527
2445,-129.1792718446601,-155.46346265440192,-102.98471880132547
2475,-152.0904076805342,-177.6830661845928,-126.58502858946315
2505,-152.24954545454534,-177.837400665019,-126.74895327624267
2535,-128.458288248337,-154.7642406788163,-102.24204779857455
2565,-122.04080415045394,-148.5404570419966,-95.63152382213589
2595,-135.67290442890453,-161.76109636956306,-109.67368183381517
2625,-142.8980470459519,-168.76816077483392,-117.1161589439548
2655,-116.31000000000006,-142.98262712712716,-89.72833533533527
2685,-116.31000000000006,-142.98262712712716,-89.72833533533527
2715,-116.31000000000006,-142.98262712712716,-89.72833533533527
2745,-130.62076923076927,-156.86145097931941,-104.46957686836635
2775,-116.31000000000006,-142.98262712712716,-89.72833533533527
2805,-116.31000000000006,-142.98262712712716,-89.72833533533527
2835,-146.62072974217313,-172.37848084675377,-120.95082107084058
2865,-134.60698441984414,-160.72734927968148,-108.57569862585011
2895,-138.5640979853481,-164.56502433775358,-112.65184337405175
2925,-159.04457685664943,-184.4273360052627,-133.74838129493918
2955,-134.28335593220345,-160.4134889482703,-108.24233529461655
2985,-166.20254545454543,-191.36925392090652,-141.1216637709479
3015,-124.13026548672576,-150.56685166582523,-97.78383679254482
3045,-116.31000000000006,-142.98262712712716,-89.72833533533527
3075,-116.31000000000006,-142.98262712712716,-89.72833533533527
3105,-116.31000000000006,-142.98262712712716,-89.72833533533527
3135,-116.31000000000006,-142.98262712712716,-89.72833533533527
3165,-148.9223690476191,-174.6106492212451,-123.32169438843607
3195,-137.3311349191938,-163.3692760914174,-111.38179240289868
3225,-148.6028691358025,-174.30079285186423,-122.99258382184654
3255,-151.23585384041758,-176.85430554790426,-125.70476950925558
3285,-142.91953541726411,-168.78900055748312,-117.13829369202861
3315,-174.2879459691253,-199.21061085334915,-149.4502755984974
3345,-163.272138690862,-188.52729632711134,-138.10310947824047
3375,-142.30088235294113,-168.18902044691748,-116.50103135488418
3405,-116.31000000000006,-142.98262712712716,-89.72833533533527
3435,-116.31000000000006,-142.98262712712716,-89.72833533533527
3465,-116.31000000000006,-142.98262712712716,-89.72833533533527
3495,-145.68473684210528,-171.4707392447849,-119.98667321892526
3525,-159.67377321874142,-185.03754118271323,-134.39650407546443
3555,-169.2465844779083,-194.32141398464483,-144.25726841635606
3585,-171.13133601524464,-196.14927761447674,-146.198713854655
3615,-152.63362409789772,-178.2098865705995,-127.14458512230455
3645,-163.325207271115,-188.57876312568385,-138.1577743775697
3675,-173.3222580645163,-198.27407053828034,-148.45553950724928
3705,-156.8707198937069,-182.3190930881962,-131.50913405167444
3735,-152.49356512530892,-178.07405503155823,-127.00031313311193
3765,-116.31000000000006,-142.98262712712716,-89.72833533533527
3795,-116.31000000000006,-142.98262712712716,-89.72833533533527
3825,-116.31000000000006,-142.98262712712716,-89.72833533533527
3855,-128.64055813953496,-154.9410090741905,-102.42980042367944
3885,-150.12195967257423,-175.77403231477567,-124.55736906518251
3915,-158.4380785391079,-183.83914377184232,-133.1236393230657
3945,-153.6314922571563,-179.17763583597673,-128.17246946007472
3975,-157.39021814352338,-182.82291119779327,-132.0442589672567
4005,-156.3103376921972,-181.77562503702148,-130.93189538266526
4035,-149.8947146086465,-175.55364624309252,-124.32328840043765
4065,-164.55654808031,-189.7729380800315,-139.42615429377955
4095,-129.57861861861852,-155.85075584894196,-103.39607804801791
4125,-119.08308577405865,-145.67201218844377,-92.58483637507805
4155,-115.03483405483416,-141.74594982139445,-88.41481200970094
4185,-120.0623991507432,-146.62176671469777,-93.59360779675642
4215,-122.06850122183005,-148.5673181260272,-95.66005402986477
4245,-142.6533948988565,-168.5308930221476,-116.86414758567275
4275,-157.1878093636966,-182.62661177069373,-131.83576166961183
4305,-152.8116818846596,-178.38256999649565,-127.32799894158755
4335,-150.02122590279657,-175.67633901652127,-124.45360519289308
4365,-130.93708518368987,-157.16821949199905,-104.79540770160543
4395,-151.3755087563734,-176.98974522605081,-125.84862528766858
4425,-154.45836612021856,-179.97955196699434,-129.02421594107756
4455,-126.97292609351439,-153.32371156601556,-100.71200549720166
4485,-72.12549999999999,-100.13175848348348,-44.21475210210209
4515,-116.31000000000006,-142.98262712712716,-89.72833533533527
4545,-116.31000000000006,-142.98262712712716,-89.72833533533527
4575,-107.7581612903225,-134.68891061545418,-80.91925470954821
4605,-135.3936535918907,-161.4902742275109,-109.3860310464718
4635,-160.20244003777157,-185.55025112440126,-134.9410733536181
4665,-141.88352391035824,-167.7842592342651,-116.07111864308277
4695,-140.51900152968983,-166.4609225597451,-114.66555101311836
4725,-144.540809806835,-170.3613396334669,-118.80833650961497
4755,-157.61290217391308,-183.03887390270714,-132.27364140118377
4785,-166.0655649326112,-191.23640791490578,-140.9805628331442
4815,-134.7465678052771,-160.86271958632796,-108.71948072208006
4845,-129.23541185527336,-155.5179081776157,-103.0425475205767
4875,-116.31000000000006,-142.98262712712716,-89.72833533533527
4905,-131.39739024390258,-157.6146310542251,-105.26955887839071
4935,-131.61334334688127,-157.8240659929237,-105.49200791655774
4965,-148.0736681915788,-173.78756490661152,-122.44746435185068
4995,-145.35707895628605,-171.15297113548664,-119.64915928398747
5025,-142.36195061399997,-168.24824547001214,-116.56393656785731
5055,-124.64669811320755,-151.06769668253162,-98.3158038699076
5085,-144.3001809954751,-170.12797377920913,-118.56046951023414
5115,-139.29187080536917,-165.27083061627067,-113.40150782241972
5145,-142.55821782178225,-168.43858869760862,-116.76610755309774
5175,-136.2941643684502,-162.36360467141174,-110.31362946178398
5205,-116.31000000000006,-142.98262712712716,-89.72833533533527
5235,-116.31000000000006,-142.98262712712716,-89.72833533533527
5265,-116.31000000000006,-142.98262712712716,-89.72833533533527
5295,-113.85042544731607,-140.59729050282894,-87.19477603010561
5325,-138.626216839677,-164.62526824380993,-112.71583078246093
5355,-150.95943964886612,-176.58623443216433,-125.42004069453493
5385,-160.75963819272874,-186.0906312338638,-135.5150321989835
5415,-132.41948428879834,-158.60587498952546,-106.32239782382531
5445,-134.38568580625065,-160.51273017519648,-108.34774328247879
5475,-169.4675767749037,-194.53573601815907,-144.48490822903244
5505,-161.91338253521133,-187.20955183425687,-136.70348152310055
5535,-126.7698663612066,-153.1267808342898,-100.50283766622663
5565,-121.9309268514312,-148.43389619583238,-95.51834138045349
5595,-116.31000000000006,-142.98262712712716,-89.72833533533527
5625,-116.31000000000006,-142.98262712712716,-89.72833533533527
5655,-116.31000000000006,-142.98262712712716,-89.72833533533527
5685,-140.81958227634027,-166.75243080565767,-114.97517332028461
5715,-152.0590801374184,-177.6526842082213,-126.55275870429763
5745,-164.11569506476098,-189.34539143674155,-138.9720402850929
5775,-147.33610658307214,-173.07226529695848,-121.68771666525465
5805,-147.48595968080645,-173.21759534271789,-121.84207738986359
5835,-145.9968132335431,-171.7733961596824,-120.30813696337938
5865,-139.0456575682382,-165.03204889230358,-113.14788841603782
5895,-138.42738339021628,-164.43243623202284,-112.51101636220986
5925,-116.31000000000006,-142.98262712712716,-89.72833533533527
5955,-116.31000000000006,-142.98262712712716,-89.72833533533527
5985,-116.31000000000006,-142.98262712712716,-89.72833533533527
6015,-116.31000000000006,-142.98262712712716,-89.72833533533527
6045,-135.31617140348965,-161.41513070257798,-109.30621817021681
6075,-148.35275912083011,-174.05823196743552,-122.73495042135735
6105,-148.64528506407964,-174.3419285300093,-123.03627563418019
6135,-159.44207731354936,-184.81283861057472,-134.15783868679299
6165,-152.55086064981947,-178.12962119151638,-127.05933212447096
6195,-147.78589588377724,-173.50847849936716,-122.15103576527972
6225,-133.09258677144737,-159.25866105857008,-107.0157474344023
6255,-118.02257751937987,-144.64351350866374,-91.4924277087165
6285,-116.31000000000006,-142.98262712712716,-89.72833533533527
6315,-116.31000000000006,-142.98262712712716,-89.72833533533527
6345,-116.31000000000006,-142.98262712712716,-89.72833533533527
6375,-108.9151046025105,-135.81093363028302,-82.11099922935489
6405,-139.89472060050048,-165.8554844515075,-114.02249152321639
6435,-122.80546772068521,-149.28204058836604,-96.41918870572961
6465,-139.85181549087326,-165.8138743570903,-113.9782958148084
6495,-145.35519135524544,-171.1511405083607,-119.64721490333193
6525,-134.19135140018068,-160.32426141109494,-108.14756323821562
6555,-124.67592917251045,-151.09604545376368,-98.34591420838784
6585,-143.49950869077657,-169.3514683586375,-117.73571273846024
6615,-119.9274444444444,-146.49088537865347,-93.45459361174022
6645,-116.31000000000006,-142.98262712712716,-89.72833533533527
6675,-116.31000000000006,-142.98262712712716,-89.72833533533527
6705,-116.31000000000006,-142.98262712712716,-89.72833533533527
6735,-118.95577844311379,-145.54854740518962,-92.4536996007983
6765,-123.49070511140235,-149.94659529463937,-97.1250382461098
6795,-134.60183035321074,-160.7223507794768,-108.57038952332063
6825,-136.8609302325582,-162.91326370556607,-110.89744381590899
6855,-146.2162044429017,-171.98616543157175,-120.53412752721471
6885,-151.00986910994754,-176.63514176873204,-125.47198708918337
6915,-135.4081276509795,-161.5043114126042,-109.40094048967147
6945,-150.9828844114528,-176.6089715558613,-125.44419068272931
6975,-116.31000000000006,-142.98262712712716,-89.72833533533527
